Site,Latitude,Longitude
    PERTH_BUOY_CENTRAL,-32.19113333,115.7031
    PERTH_BUOY_SOUTH,-32.25089973,115.7274814
    Northern_Basin,-32.167083,115.7285
    CS5,-32.15236647,115.7201576
    CS4,-32.15455115,115.6938406
    CS8,-32.19756533,115.7198329
    CS9A,-32.23893373,115.7514119
    CS13,-32.25080896,115.7283212
    CS11,-32.26240141,115.714178
    NH3,-32.14002396,115.762558
    CS6A,-32.14647972,115.756724
    CS7,-32.17070254,115.7624827
    CS12,-32.19779756,115.7658716
    CS9,-32.20985052,115.7595655
    MB,-32.27504913,115.7054524
    WSS4,-32.33694602,115.7221667
    WSSB,-32.30883762,115.7087852
    Spoil_Grounds,-32.184083,115.759222
    Western_Power,-32.197278,115.769972
