X,Y,Label,Use,Year
115.7443056,-32.20336111, STIRLING,Water level,"2013"
115.7036944,-32.12966667,PARMELIA,Water level,"2022"
115.7380916,-32.06483943,FremantleGauge,Water level,
115.762214,-32.201505,Westport_S01_a,Current,"2013"
115.762299,-32.201542,Westport_S01_b,Current,"2013"
115.762299,-32.201542,Westport_S01_c,Current,"2013"
115.76271,-32.200942,Westport_S01_d,Current,"2013"
115.726147,-32.18067,Westport_S02_a,Current,"2013"
115.72615,-32.180463,Westport_S02_b,Current,"2013"
115.718228,-32.168981,Westport_S02_c,Current,"2013"
115.730832,-32.180925,Westport_S02_d,Current,"2013"
115.6976,-32.1463,CS1,Current,"2022"
115.6971,-32.184,CS2,Current,"2022"
115.729,-32.2522,CS3,Current,"2022"
115.75,-32.2044,CS4,Current,"2022"
115.7421,-32.1541,CS5,Current,"2022"
115.7392,-32.096,CS6,Current,"2022"
115.6853,-32.2485,CS7,Current,"2022"
115.7257187,-32.18021616,wind_location_animation,Wind,"2013, 2021, 2022"
115.71765,-32.17496,navalbase_transect_4km,Profile,"2013, 2021, 2022"
115.7432923,-32.20654555,north_BP_terminal,Profile,"2013, 2021, 2022"
